time,Network.host[0].app.Throughput:vector
0.001918500343,41699.2
0.002414667124,66261.7
0.003407000686,70443.2
0.004399334248,72738.3
0.00539166781,74188.5
0.006384001372,75188
0.007376334934,75918.5
0.008368668496,76475.7
0.009361002058,76914.8
0.01035333562,77269.8
0.011345669182,77562.6
0.012338002744,77808.4
0.013330336306,78017.5
0.014322669868,78197.7
0.01531500343,78354.5
0.016307336992,78492.3
0.017299670554,78614.2
0.018292004116,78722.9
0.019284337678,78820.4
0.02027667124,78908.4
0.021269004802,78988.2
0.022261338364,79060.8
0.023253671926,79127.3
0.024246005488,79188.3
0.02523833905,79244.5
0.026230672612,79296.5
0.027223006174,79344.7
0.028215339736,79389.4
0.029207673298,79431.2
0.03020000686,79470.2
0.031192340422,79506.7
0.032184673984,79541
0.033177007546,79573.2
0.034169341108,79603.5
0.03516167467,79632.2
0.036154008232,79659.2
0.037146341794,79684.8
0.038138675356,79709.1
0.039131008918,79732.2
0.04012334248,79754.1
0.041115676042,79774.9
0.042108009604,79794.8
0.043100343166,79813.7
0.044092676728,79831.9
0.04508501029,79849.2
0.046077343852,79865.7
0.047069677414,79881.6
0.048062010976,79896.8
0.049054344538,79911.4
0.0500466781,79925.4
0.051039011662,79938.9
0.052031345224,79951.8
0.053023678786,79964.3
0.054016012348,79976.3
0.05500834591,79987.9
0.056000679472,79999
0.056993013034,80009.8
0.057985346596,80020.2
0.058977680158,80030.3
0.05997001372,80040
0.060962347282,80049.4
0.061954680844,80058.5
0.062947014406,80067.3
0.063939347968,80075.9
0.06493168153,80084.2
0.065924015092,80092.2
0.066916348654,80100
0.067908682216,80107.6
0.068901015778,80114.9
0.06989334934,80122.1
0.070885682902,80129
0.071878016464,80135.8
0.072870350026,80142.3
0.073862683588,80148.7
0.07485501715,80154.9
0.075847350712,80161
0.076839684274,80166.9
0.077832017836,80172.7
0.078824351398,80178.3
0.07981668496,80183.7
0.080809018522,80189.1
0.081801352084,80194.3
0.082793685646,80199.4
0.083786019208,80204.3
0.08477835277,80209.2
0.085770686332,80213.9
0.086763019894,80218.5
0.087755353456,80223
0.088747687018,80227.4
0.08974002058,80231.8
0.090732354142,80236
0.091724687704,80240.1
0.092717021266,80244.2
0.093709354828,80248.1
0.09470168839,80252
0.095694021952,80255.8
0.096686355514,80259.5
0.097678689076,80263.2
0.098671022638,80266.7
0.0996633562,80270.2
0.100655689762,80273.7
0.101648023324,80277
0.102640356886,80280.3
0.103632690448,80283.5
0.10462502401,80286.7
0.105617357572,80289.8
0.106609691134,80292.9
0.107602024696,80295.9
0.108594358258,80298.8
0.10958669182,80301.7
0.110579025382,80304.6
0.111571358944,80307.3
0.112563692506,80310.1
0.113556026068,80312.8
0.11454835963,80315.4
0.115540693192,80318
0.116533026754,80320.6
0.117525360316,80323.1
0.118517693878,80325.6
0.11951002744,80328
0.120502361002,80330.4
0.121494694564,80332.7
0.122487028126,80335
0.123479361688,80337.3
0.12447169525,80339.6
0.125464028812,80341.8
0.126456362374,80343.9
0.127448695936,80346.1
0.128441029498,80348.2
0.12943336306,80350.2
0.130425696622,80352.3
0.131418030184,80354.3
0.132410363746,80356.2
0.133402697308,80358.2
0.13439503087,80360.1
0.135387364432,80362
0.136379697994,80363.9
0.137372031556,80365.7
0.138364365118,80367.5
0.13935669868,80369.3
0.140349032242,80371.1
0.141341365804,80372.8
0.142333699366,80374.5
0.143326032928,80376.2
0.14431836649,80377.8
0.145310700052,80379.5
0.146303033614,80381.1
0.147295367176,80382.7
0.148287700738,80384.3
0.1492800343,80385.8
0.150272367862,80387.4
0.151264701424,80388.9
0.152257034986,80390.4
0.153249368548,80391.8
0.15424170211,80393.3
0.155234035672,80394.7
0.156226369234,80396.2
0.157218702796,80397.6
0.158211036358,80398.9
0.15920336992,80400.3
0.160195703482,80401.7
0.161188037044,80403
0.162180370606,80404.3
0.163172704168,80405.6
0.16416503773,80406.9
0.165157371292,80408.2
0.166149704854,80409.4
0.167142038416,80410.7
0.168134371978,80411.9
0.16912670554,80413.1
0.170119039102,80414.3
0.171111372664,80415.5
0.172103706226,80416.6
0.173096039788,80417.8
0.17408837335,80418.9
0.175080706912,80420.1
0.176073040474,80421.2
0.177065374036,80422.3
0.178057707598,80423.4
0.17905004116,80424.4
0.180042374722,80425.5
0.181034708284,80426.6
0.182027041846,80427.6
0.183019375408,80428.6
0.18401170897,80429.7
0.185004042532,80430.7
0.185996376094,80431.7
0.186988709656,80432.7
0.187981043218,80433.6
0.18897337678,80434.6
0.189965710342,80435.6
0.190958043904,80436.5
0.191950377466,80437.5
0.192942711028,80438.4
0.19393504459,80439.3
0.194927378152,80440.2
0.195919711714,80441.1
0.196912045276,80442
0.197904378838,80442.9
0.1988967124,80443.8
0.199889045962,80444.6
0.200881379524,80445.5
0.201873713086,80446.3
0.202866046648,80447.2
0.20385838021,80448
0.204850713772,80448.8
0.205843047334,80449.6
0.206835380896,80450.5
0.207827714458,80451.3
0.20882004802,80452
0.209812381582,80452.8
0.210804715144,80453.6
0.211797048706,80454.4
0.212789382268,80455.1
0.21378171583,80455.9
0.214774049392,80456.6
0.215766382954,80457.4
0.216758716516,80458.1
0.217751050078,80458.9
0.21874338364,80459.6
0.219735717202,80460.3
0.220728050764,80461
0.221720384326,80461.7
0.222712717888,80462.4
0.22370505145,80463.1
0.224697385012,80463.8
0.225689718574,80464.5
0.226682052136,80465.1
0.227674385698,80465.8
0.22866671926,80466.5
0.229659052822,80467.1
0.230651386384,80467.8
0.231643719946,80468.4
0.232636053508,80469
0.23362838707,80469.7
