time,Network.host[0].app.Throughput:vector
0.005318500343,90251
0.006814667124,140873
0.009807000686,146834
0.012799334248,150008
0.01579166781,151979
0.018784001372,153322
0.021776334934,154296
0.024768668496,155035
0.027761002058,155614
0.03075333562,156081
0.033745669182,156465
0.036738002744,156786
0.039730336306,157059
0.042722669868,157294
0.04571500343,157498
0.048707336992,157676
0.051699670554,157835
0.054692004116,157976
0.057684337678,158102
0.06067667124,158216
0.063669004802,158319
0.066661338364,158413
0.069653671926,158498
0.072646005488,158577
0.07563833905,158650
0.078630672612,158717
0.081623006174,158779
0.084615339736,158836
0.087607673298,158890
0.09060000686,158940
0.093592340422,158987
0.096584673984,159031
0.099577007546,159073
0.102569341108,159112
0.10556167467,159149
0.108554008232,159183
0.111546341794,159216
0.114538675356,159248
0.117531008918,159277
0.12052334248,159305
0.123515676042,159332
0.126508009604,159357
0.129500343166,159382
0.132492676728,159405
0.13548501029,159427
0.138477343852,159448
0.141469677414,159469
0.144462010976,159488
0.147454344538,159507
0.1504466781,159525
0.153439011662,159542
0.156431345224,159559
0.159423678786,159575
0.162416012348,159590
0.16540834591,159605
0.168400679472,159619
0.171393013034,159633
0.174385346596,159646
0.177377680158,159659
0.18037001372,159672
0.183362347282,159684
0.186354680844,159695
0.189347014406,159707
0.192339347968,159718
0.19533168153,159728
0.198324015092,159739
0.201316348654,159749
0.204308682216,159758
0.207301015778,159768
0.21029334934,159777
0.213285682902,159786
0.216278016464,159794
0.219270350026,159803
0.222262683588,159811
0.22525501715,159819
0.228247350712,159827
0.231239684274,159834
0.234232017836,159842
0.237224351398,159849
0.24021668496,159856
0.243209018522,159862
0.246201352084,159869
0.249193685646,159876
0.252186019208,159882
0.25517835277,159888
0.258170686332,159894
0.261163019894,159900
0.264155353456,159906
0.267147687018,159912
0.27014002058,159917
0.273132354142,159922
0.276124687704,159928
0.279117021266,159933
0.282109354828,159938
0.28510168839,159943
0.288094021952,159948
0.291086355514,159953
0.294078689076,159957
0.297071022638,159962
0.3000633562,159966
0.303055689762,159971
0.306048023324,159975
0.309040356886,159979
0.312032690448,159983
0.31502502401,159987
0.318017357572,159991
0.321009691134,159995
0.324002024696,159999
0.326994358258,160003
0.32998669182,160006
0.332979025382,160010
0.335971358944,160014
0.338963692506,160017
0.341956026068,160021
0.34494835963,160024
0.347940693192,160027
0.350933026754,160031
0.353925360316,160034
0.356917693878,160037
0.35991002744,160040
0.362902361002,160043
0.365894694564,160046
0.368887028126,160049
0.371879361688,160052
0.37487169525,160055
