time,Network.host[0].spi.setRxMode_time:vector
0.000049999999,5e-005
0.001472333562,5e-005
0.002464333561,5e-005
0.00345633356,5e-005
0.004448333559,5e-005
0.005440333558,5e-005
0.006432333557,5e-005
0.007424333556,5e-005
0.008416333555,5e-005
0.009408333554,5e-005
0.010400333553,5e-005
0.011392333552,5e-005
0.012384333551,5e-005
0.01337633355,5e-005
0.014368333549,5e-005
0.015360333548,5e-005
0.016352333547,5e-005
0.017344333546,5e-005
0.018336333545,5e-005
0.019328333544,5e-005
0.020320333543,5e-005
0.021312333542,5e-005
0.022304333541,5e-005
0.02329633354,5e-005
0.024288333539,5e-005
0.025280333538,5e-005
0.026272333537,5e-005
0.027264333536,5e-005
0.028256333535,5e-005
0.029248333534,5e-005
0.030240333533,5e-005
0.031232333532,5e-005
0.032224333531,5e-005
0.03321633353,5e-005
0.034208333529,5e-005
0.035200333528,5e-005
0.036192333527,5e-005
0.037184333526,5e-005
0.038176333525,5e-005
0.039168333524,5e-005
0.040160333523,5e-005
0.041152333522,5e-005
0.042144333521,5e-005
0.04313633352,5e-005
0.044128333519,5e-005
0.045120333518,5e-005
0.046112333517,5e-005
0.047104333516,5e-005
0.048096333515,5e-005
0.049088333514,5e-005
0.050080333513,5e-005
0.051072333512,5e-005
0.052064333511,5e-005
0.05305633351,5e-005
0.054048333509,5e-005
0.055040333508,5e-005
0.056032333507,5e-005
0.057024333506,5e-005
0.058016333505,5e-005
0.059008333504,5e-005
0.060000333503,5e-005
0.060992333502,5e-005
0.061984333501,5e-005
0.0629763335,5e-005
0.063968333499,5e-005
0.064960333498,5e-005
0.065952333497,5e-005
0.066944333496,5e-005
0.067936333495,5e-005
0.068928333494,5e-005
0.069920333493,5e-005
0.070912333492,5e-005
0.071904333491,5e-005
0.07289633349,5e-005
0.073888333489,5e-005
0.074880333488,5e-005
0.075872333487,5e-005
0.076864333486,5e-005
0.077856333485,5e-005
0.078848333484,5e-005
0.079840333483,5e-005
0.080832333482,5e-005
0.081824333481,5e-005
0.08281633348,5e-005
0.083808333479,5e-005
0.084800333478,5e-005
0.085792333477,5e-005
0.086784333476,5e-005
0.087776333475,5e-005
0.088768333474,5e-005
0.089760333473,5e-005
0.090752333472,5e-005
0.091744333471,5e-005
0.09273633347,5e-005
0.093728333469,5e-005
0.094720333468,5e-005
0.095712333467,5e-005
0.096704333466,5e-005
0.097696333465,5e-005
0.098688333464,5e-005
0.099680333463,5e-005
0.100672333462,5e-005
0.101664333461,5e-005
0.10265633346,5e-005
0.103648333459,5e-005
0.104640333458,5e-005
0.105632333457,5e-005
0.106624333456,5e-005
0.107616333455,5e-005
0.108608333454,5e-005
0.109600333453,5e-005
0.110592333452,5e-005
0.111584333451,5e-005
0.11257633345,5e-005
0.113568333449,5e-005
0.114560333448,5e-005
0.115552333447,5e-005
0.116544333446,5e-005
0.117536333445,5e-005
0.118528333444,5e-005
0.119520333443,5e-005
0.120512333442,5e-005
0.121504333441,5e-005
0.12249633344,5e-005
0.123488333439,5e-005
0.124480333438,5e-005
0.125472333437,5e-005
0.126464333436,5e-005
0.127456333435,5e-005
0.128448333434,5e-005
0.129440333433,5e-005
0.130432333432,5e-005
0.131424333431,5e-005
0.13241633343,5e-005
0.133408333429,5e-005
0.134400333428,5e-005
0.135392333427,5e-005
0.136384333426,5e-005
0.137376333425,5e-005
0.138368333424,5e-005
0.139360333423,5e-005
0.140352333422,5e-005
0.141344333421,5e-005
0.14233633342,5e-005
0.143328333419,5e-005
0.144320333418,5e-005
0.145312333417,5e-005
0.146304333416,5e-005
0.147296333415,5e-005
0.148288333414,5e-005
0.149280333413,5e-005
0.150272333412,5e-005
0.151264333411,5e-005
0.15225633341,5e-005
