time,Network.host[0].spi.ArrivedDataframesCount:vector
0.000992333563,1
0.001984333562,2
0.002976333561,3
0.00396833356,4
0.004960333559,5
0.005952333558,6
0.006944333557,7
0.007936333556,8
0.008928333555,9
0.009920333554,10
0.010912333553,11
0.011904333552,12
0.012896333551,13
0.01388833355,14
0.014880333549,15
0.015872333548,16
0.016864333547,17
0.017856333546,18
0.018848333545,19
0.019840333544,20
0.020832333543,21
0.021824333542,22
0.022816333541,23
0.02380833354,24
0.024800333539,25
0.025792333538,26
0.026784333537,27
0.027776333536,28
0.028768333535,29
0.029760333534,30
0.030752333533,31
0.031744333532,32
0.032736333531,33
0.03372833353,34
0.034720333529,35
0.035712333528,36
0.036704333527,37
0.037696333526,38
0.038688333525,39
0.039680333524,40
0.040672333523,41
0.041664333522,42
0.042656333521,43
0.04364833352,44
0.044640333519,45
0.045632333518,46
0.046624333517,47
0.047616333516,48
0.048608333515,49
0.049600333514,50
0.050592333513,51
0.051584333512,52
0.052576333511,53
0.05356833351,54
0.054560333509,55
0.055552333508,56
0.056544333507,57
0.057536333506,58
0.058528333505,59
0.059520333504,60
0.060512333503,61
0.061504333502,62
0.062496333501,63
0.0634883335,64
0.064480333499,65
0.065472333498,66
0.066464333497,67
0.067456333496,68
0.068448333495,69
0.069440333494,70
0.070432333493,71
0.071424333492,72
0.072416333491,73
0.07340833349,74
0.074400333489,75
0.075392333488,76
0.076384333487,77
0.077376333486,78
0.078368333485,79
0.079360333484,80
0.080352333483,81
0.081344333482,82
0.082336333481,83
0.08332833348,84
0.084320333479,85
0.085312333478,86
0.086304333477,87
0.087296333476,88
0.088288333475,89
0.089280333474,90
0.090272333473,91
0.091264333472,92
0.092256333471,93
0.09324833347,94
0.094240333469,95
0.095232333468,96
0.096224333467,97
0.097216333466,98
0.098208333465,99
0.099200333464,100
0.100192333463,101
0.101184333462,102
0.102176333461,103
0.10316833346,104
0.104160333459,105
0.105152333458,106
0.106144333457,107
0.107136333456,108
0.108128333455,109
0.109120333454,110
0.110112333453,111
0.111104333452,112
0.112096333451,113
0.11308833345,114
0.114080333449,115
0.115072333448,116
0.116064333447,117
0.117056333446,118
0.118048333445,119
0.119040333444,120
0.120032333443,121
0.121024333442,122
0.122016333441,123
0.12300833344,124
0.124000333439,125
0.124992333438,126
0.125984333437,127
0.126976333436,128
0.127968333435,129
0.128960333434,130
0.129952333433,131
0.130944333432,132
0.131936333431,133
0.13292833343,134
0.133920333429,135
0.134912333428,136
0.135904333427,137
0.136896333426,138
0.137888333425,139
0.138880333424,140
0.139872333423,141
0.140864333422,142
0.141856333421,143
0.14284833342,144
0.143840333419,145
0.144832333418,146
0.145824333417,147
0.146816333416,148
0.147808333415,149
0.148800333414,150
0.149792333413,151
0.150784333412,152
0.151776333411,153
0.15276833341,154
0.153760333409,155
0.154752333408,156
0.155744333407,157
0.156736333406,158
0.157728333405,159
0.158720333404,160
0.159712333403,161
0.160704333402,162
0.161696333401,163
0.1626883334,164
0.163680333399,165
0.164672333398,166
0.165664333397,167
0.166656333396,168
0.167648333395,169
0.168640333394,170
0.169632333393,171
0.170624333392,172
0.171616333391,173
0.17260833339,174
0.173600333389,175
0.174592333388,176
0.175584333387,177
0.176576333386,178
0.177568333385,179
0.178560333384,180
0.179552333383,181
0.180544333382,182
0.181536333381,183
0.18252833338,184
0.183520333379,185
0.184512333378,186
0.185504333377,187
0.186496333376,188
0.187488333375,189
0.188480333374,190
0.189472333373,191
0.190464333372,192
0.191456333371,193
0.19244833337,194
0.193440333369,195
0.194432333368,196
0.195424333367,197
0.196416333366,198
0.197408333365,199
0.198400333364,200
0.199392333363,201
0.200384333362,202
0.201376333361,203
0.20236833336,204
0.203360333359,205
0.204352333358,206
0.205344333357,207
0.206336333356,208
0.207328333355,209
0.208320333354,210
0.209312333353,211
0.210304333352,212
0.211296333351,213
0.21228833335,214
0.213280333349,215
0.214272333348,216
0.215264333347,217
0.216256333346,218
0.217248333345,219
0.218240333344,220
0.219232333343,221
0.220224333342,222
0.221216333341,223
0.22220833334,224
0.223200333339,225
0.224192333338,226
0.225184333337,227
0.226176333336,228
0.227168333335,229
0.228160333334,230
0.229152333333,231
0.230144333332,232
0.231136333331,233
0.23212833333,234
0.233120333329,235
0.234112333328,236
0.235104333327,237
0.236096333326,238
0.237088333325,239
0.238080333324,240
0.239072333323,241
0.240064333322,242
0.241056333321,243
0.24204833332,244
0.243040333319,245
0.244032333318,246
0.245024333317,247
0.246016333316,248
0.247008333315,249
0.248000333314,250
0.248992333313,251
0.249984333312,252
0.250976333311,253
0.25196833331,254
0.252960333309,255
0.253952333308,256
0.254944333307,257
0.255936333306,258
0.256928333305,259
0.257920333304,260
0.258912333303,261
0.259904333302,262
0.260896333301,263
0.2618883333,264
0.262880333299,265
0.263872333298,266
0.264864333297,267
0.265856333296,268
0.266848333295,269
0.267840333294,270
0.268832333293,271
0.269824333292,272
0.270816333291,273
0.27180833329,274
0.272800333289,275
0.273792333288,276
0.274784333287,277
0.275776333286,278
0.276768333285,279
0.277760333284,280
0.278752333283,281
0.279744333282,282
0.280736333281,283
0.28172833328,284
0.282720333279,285
0.283712333278,286
0.284704333277,287
0.285696333276,288
0.286688333275,289
0.287680333274,290
0.288672333273,291
0.289664333272,292
0.290656333271,293
0.29164833327,294
0.292640333269,295
0.293632333268,296
0.294624333267,297
0.295616333266,298
0.296608333265,299
0.297600333264,300
0.298592333263,301
0.299584333262,302
0.300576333261,303
0.30156833326,304
0.302560333259,305
0.303552333258,306
0.304544333257,307
0.305536333256,308
