time,Network.host[0].spi.RxNoFrame_time:vector
0.00074616678,5e-005
0.003530833904,5e-005
0.004923167466,5e-005
0.006315501028,5e-005
0.00770783459,5e-005
0.009100168152,5e-005
0.010492501714,5e-005
0.011884835276,5e-005
0.013277168838,5e-005
0.0146695024,5e-005
0.016061835962,5e-005
0.017454169524,5e-005
0.018846503086,5e-005
0.020238836648,5e-005
0.02163117021,5e-005
0.023023503772,5e-005
0.024415837334,5e-005
0.025808170896,5e-005
0.027200504458,5e-005
0.02859283802,5e-005
0.029985171582,5e-005
0.031377505144,5e-005
0.032769838706,5e-005
0.034162172268,5e-005
0.03555450583,5e-005
0.036946839392,5e-005
0.038339172954,5e-005
0.039731506516,5e-005
0.041123840078,5e-005
0.04251617364,5e-005
0.043908507202,5e-005
0.045300840764,5e-005
0.046693174326,5e-005
0.048085507888,5e-005
0.04947784145,5e-005
0.050870175012,5e-005
0.052262508574,5e-005
0.053654842136,5e-005
0.055047175698,5e-005
0.05643950926,5e-005
0.057831842822,5e-005
0.059224176384,5e-005
0.060616509946,5e-005
0.062008843508,5e-005
0.06340117707,5e-005
0.064793510632,5e-005
0.066185844194,5e-005
0.067578177756,5e-005
0.068970511318,5e-005
0.07036284488,5e-005
0.071755178442,5e-005
0.073147512004,5e-005
0.074539845566,5e-005
0.075932179128,5e-005
0.07732451269,5e-005
0.078716846252,5e-005
0.080109179814,5e-005
0.081501513376,5e-005
0.082893846938,5e-005
0.0842861805,5e-005
0.085678514062,5e-005
0.087070847624,5e-005
0.088463181186,5e-005
0.089855514748,5e-005
0.09124784831,5e-005
0.092640181872,5e-005
0.094032515434,5e-005
0.095424848996,5e-005
0.096817182558,5e-005
0.09820951612,5e-005
0.099601849682,5e-005
0.100994183244,5e-005
0.102386516806,5e-005
0.103778850368,5e-005
0.10517118393,5e-005
0.106563517492,5e-005
0.107955851054,5e-005
0.109348184616,5e-005
0.110740518178,5e-005
0.11213285174,5e-005
0.113525185302,5e-005
0.114917518864,5e-005
0.116309852426,5e-005
0.117702185988,5e-005
0.11909451955,5e-005
0.120486853112,5e-005
0.121879186674,5e-005
0.123271520236,5e-005
0.124663853798,5e-005
0.12605618736,5e-005
0.127448520922,5e-005
0.128840854484,5e-005
0.130233188046,5e-005
0.131625521608,5e-005
0.13301785517,5e-005
0.134410188732,5e-005
0.135802522294,5e-005
0.137194855856,5e-005
0.138587189418,5e-005
0.13997952298,5e-005
0.141371856542,5e-005
0.142764190104,5e-005
0.144156523666,5e-005
0.145548857228,5e-005
0.14694119079,5e-005
0.148333524352,5e-005
0.149725857914,5e-005
0.151118191476,5e-005
0.152510525038,5e-005
0.1539028586,5e-005
0.155295192162,5e-005
0.156687525724,5e-005
0.158079859286,5e-005
0.159472192848,5e-005
0.16086452641,5e-005
0.162256859972,5e-005
0.163649193534,5e-005
0.165041527096,5e-005
0.166433860658,5e-005
0.16782619422,5e-005
0.169218527782,5e-005
0.170610861344,5e-005
0.172003194906,5e-005
0.173395528468,5e-005
0.17478786203,5e-005
0.176180195592,5e-005
0.177572529154,5e-005
0.178964862716,5e-005
0.180357196278,5e-005
0.18174952984,5e-005
0.183141863402,5e-005
0.184534196964,5e-005
0.185926530526,5e-005
0.187318864088,5e-005
0.18871119765,5e-005
0.190103531212,5e-005
0.191495864774,5e-005
0.192888198336,5e-005
0.194280531898,5e-005
0.19567286546,5e-005
0.197065199022,5e-005
0.198457532584,5e-005
0.199849866146,5e-005
0.201242199708,5e-005
0.20263453327,5e-005
0.204026866832,5e-005
0.205419200394,5e-005
0.206811533956,5e-005
